exponent,        func_exp,       original_exp,        Error
-4.160000000000018,0.015607557919988,0.015607557919983,0.000000000000005
-4.150000000000018,0.015764416484860,0.015764416484854,0.000000000000005
-4.140000000000018,0.015922851504517,0.015922851504511,0.000000000000005
-4.130000000000019,0.016082878822594,0.016082878822588,0.000000000000006
-4.120000000000019,0.016244514441955,0.016244514441950,0.000000000000005
-4.110000000000019,0.016407774526297,0.016407774526292,0.000000000000005
-4.100000000000019,0.016572675401767,0.016572675401761,0.000000000000006
-4.090000000000019,0.016739233558586,0.016739233558580,0.000000000000005
-4.080000000000020,0.016907465652710,0.016907465652705,0.000000000000005
-4.070000000000020,0.017077388507490,0.017077388507484,0.000000000000006
-4.060000000000020,0.017249019115351,0.017249019115346,0.000000000000005
-4.050000000000020,0.017422374639499,0.017422374639493,0.000000000000006
